ID,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
2,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
3,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85
4,New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84
5,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84
6,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84
7,IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84
8,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83
9,Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83
10,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83
11,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83
12,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82
13,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82
14,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,3,5,82
15,Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,26,9,82
16,Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,2,23,81
17,Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,80
18,These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,19,5,80
19,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,79
20,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,2,10,78
21,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,59,-7,12,36,260,78,3,78
22,Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78
23,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78
24,Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,74,-5,30,62,189,0,4,77
25,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,-3,12,63,204,3,7,76
26,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76
27,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,76
28,Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76
29,Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,3,3,76
30,Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75
31,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75
32,Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75
33,Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74
34,Say Something,Justin Timberlake,dance pop,2018,97,63,71,-7,8,37,279,10,8,74
35,Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,-5,11,48,192,28,37,73
36,Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72
37,Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72
38,Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72
39,Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21,68,191,6,10,72
40,Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71
41,First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71
42,End Game,Taylor Swift,pop,2018,159,59,65,-6,11,15,245,1,6,70
