ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,97,89,67,-4,8,80,217,19,4,83
2,87,93,75,-5,52,64,263,24,23,82
3,120,84,76,-3,29,71,200,10,14,80
4,119,92,70,-4,8,71,295,0,4,79
5,109,84,64,-5,9,43,221,2,4,78
6,65,86,73,-5,11,54,214,4,14,77
7,120,78,75,-4,4,82,203,0,9,77
8,148,76,52,-6,12,38,225,7,4,77
9,93,37,48,-8,12,14,216,74,3,76
10,126,72,79,-4,7,61,235,13,4,73
11,128,87,62,-4,6,47,235,3,3,73
12,145,83,62,-5,10,48,230,33,4,73
13,130,82,77,-5,70,63,213,18,5,73
14,122,83,83,-6,11,71,221,1,4,73
15,125,84,44,-8,12,78,217,1,45,72
16,130,75,78,-6,36,33,269,20,3,72
17,121,61,72,-4,11,83,202,5,3,71
18,128,81,82,-8,60,44,308,7,7,70
19,99,80,63,-7,36,37,274,0,5,69
20,120,61,83,-4,9,76,187,1,10,69
21,130,63,80,-7,32,40,284,0,7,68
22,186,68,44,-5,6,45,227,1,5,66
23,125,68,73,-5,9,74,215,0,3,66
24,103,81,70,-5,22,73,216,0,4,65
25,146,95,53,-4,28,65,238,26,5,65
26,148,83,48,-6,38,74,212,0,4,65
27,133,90,61,-5,5,88,203,2,5,64
28,129,94,65,-3,6,73,231,2,9,63
29,120,80,72,-5,13,59,228,2,4,63
30,125,75,79,-4,18,40,235,0,5,62
31,135,71,70,-2,14,79,213,5,5,62
32,138,89,68,-4,36,83,192,1,8,62
33,120,84,75,-3,42,52,172,8,12,62
34,92,52,60,-7,31,41,258,18,37,62
35,111,82,50,-5,13,55,249,16,11,62
36,130,63,81,-5,13,80,196,8,5,61
37,164,41,29,-5,13,7,264,83,3,61
38,131,91,65,-4,37,79,228,1,11,59
39,125,91,72,-6,43,84,269,2,10,59
40,150,81,50,-5,12,26,253,3,9,58
41,150,85,51,-4,12,72,185,47,27,58
42,104,41,71,-7,10,10,273,4,3,57
43,182,75,31,-4,65,16,251,1,11,57
44,112,87,80,-4,9,85,193,19,7,56
45,43,39,23,-6,14,7,257,85,4,56
46,120,81,76,-5,56,54,186,0,4,55
47,91,95,64,-4,18,57,220,6,7,52
48,120,86,66,-3,8,65,221,3,11,52
49,80,86,45,-5,26,58,329,7,39,49
