ID,title,artist,top genre,year
1,"Hey, Soul Sister",Train,neo mellow,2010
2,Love The Way You Lie,Eminem,detroit hip hop,2010
3,TiK ToK,Kesha,dance pop,2010
4,Bad Romance,Lady Gaga,dance pop,2010
5,Just the Way You Are,Bruno Mars,pop,2010
6,Baby,Justin Bieber,canadian pop,2010
7,Dynamite,Taio Cruz,dance pop,2010
8,Secrets,OneRepublic,dance pop,2010
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010
10,Only Girl (In The World),Rihanna,barbadian pop,2010
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010
12,Marry You,Bruno Mars,pop,2010
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010
14,Telephone,Lady Gaga,dance pop,2010
15,Like A G6,Far East Movement,dance pop,2010
16,OMG (feat. will.i.am),Usher,atl hip hop,2010
17,Eenie Meenie,Sean Kingston,dance pop,2010
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010
19,Alejandro,Lady Gaga,dance pop,2010
20,Your Love Is My Drug,Kesha,dance pop,2010
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010
22,Whataya Want from Me,Adam Lambert,australian pop,2010
23,Take It Off,Kesha,dance pop,2010
24,Misery,Maroon 5,pop,2010
25,All The Right Moves,OneRepublic,dance pop,2010
26,Animal,Neon Trees,indie pop,2010
27,Naturally,Selena Gomez & The Scene,dance pop,2010
28,I Like It,Enrique Iglesias,dance pop,2010
29,Teenage Dream,Katy Perry,dance pop,2010
30,California Gurls,Katy Perry,dance pop,2010
31,3,Britney Spears,dance pop,2010
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010
34,Imma Be,The Black Eyed Peas,dance pop,2010
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010
38,If I Had You,Adam Lambert,australian pop,2010
39,Rock That Body,The Black Eyed Peas,dance pop,2010
40,Dog Days Are Over,Florence + The Machine,art pop,2010
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010
43,Hard,Rihanna,barbadian pop,2010
44,Loca,Shakira,colombian pop,2010
45,You Lost Me,Christina Aguilera,dance pop,2010
46,Not Myself Tonight,Christina Aguilera,dance pop,2010
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010
50,Break Your Heart,Taio Cruz,dance pop,2010
51,Hello,Martin Solveig,big room,2010
52,A Thousand Years,Christina Perri,dance pop,2011
53,Someone Like You,Adele,british soul,2011
54,Give Me Everything,Pitbull,dance pop,2011
55,Just the Way You Are,Bruno Mars,pop,2011
56,Rolling in the Deep,Adele,british soul,2011
57,Run the World (Girls),Beyoncé,dance pop,2011
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011
59,Love On Top,Beyoncé,dance pop,2011
60,Grenade,Bruno Mars,pop,2011
61,Tonight Tonight,Hot Chelle Rae,dance pop,2011
62,What the Hell,Avril Lavigne,canadian pop,2011
63,Born This Way,Lady Gaga,dance pop,2011
64,Monster,Kanye West,chicago rap,2011
65,Marry You,Bruno Mars,pop,2011
66,Best Thing I Never Had,Beyoncé,dance pop,2011
67,Party Rock Anthem,LMFAO,dance pop,2011
68,We R Who We R,Kesha,dance pop,2011
69,Price Tag,Jessie J,australian pop,2011
70,Good Life,OneRepublic,dance pop,2011
71,Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011
72,On The Floor,Jennifer Lopez,dance pop,2011
73,What's My Name?,Rihanna,barbadian pop,2011
74,Yeah 3x,Chris Brown,dance pop,2011
75,Without You (feat. Usher),David Guetta,dance pop,2011
76,Sexy And I Know It,LMFAO,dance pop,2011
77,The Edge Of Glory,Lady Gaga,dance pop,2011
78,E.T.,Katy Perry,dance pop,2011
79,Till the World Ends,Britney Spears,dance pop,2011
80,I Wanna Go,Britney Spears,dance pop,2011
81,Blow,Kesha,dance pop,2011
82,You And I,Lady Gaga,dance pop,2011
83,Judas,Lady Gaga,dance pop,2011
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011
85,Please Don't Go,Mike Posner,dance pop,2011
86,We Found Love,Rihanna,barbadian pop,2011
87,Marry The Night,Lady Gaga,dance pop,2011
