id,DATE,IPG2211A2N
1,1985-01-01,72.5052
1,1985-01-02,70.672
1,1985-01-03,62.4502
1,1985-01-04,57.4714
1,1985-01-05,55.3151
1,1985-01-06,58.0904
1,1985-01-07,62.6202
1,1985-01-08,63.2485
1,1985-01-09,60.5846
1,1985-01-10,56.3154
1,1985-01-11,58.0005
1,1985-01-12,68.7145
2,1986-01-01,73.3057
2,1986-01-02,67.9869
2,1986-01-03,62.2221
2,1986-01-04,57.0329
2,1986-01-05,55.8137
2,1986-01-06,59.9005
2,1986-01-07,65.7655
2,1986-01-08,64.4816
2,1986-01-09,61.0005
2,1986-01-10,57.5322
2,1986-01-11,59.3417
2,1986-01-12,68.1354
3,1987-01-01,73.8152
3,1987-01-02,70.062
3,1987-01-03,65.61
3,1987-01-04,60.1586
3,1987-01-05,58.8734
3,1987-01-06,63.8918
3,1987-01-07,68.8694
3,1987-01-08,70.0669
3,1987-01-09,64.1151
3,1987-01-10,60.3789
3,1987-01-11,62.4643
3,1987-01-12,70.5777
4,1988-01-01,79.8703
4,1988-01-02,76.1622
4,1988-01-03,70.2928
4,1988-01-04,63.2384
4,1988-01-05,61.4065
4,1988-01-06,67.1097
4,1988-01-07,72.9816
4,1988-01-08,75.7655
4,1988-01-09,67.5152
4,1988-01-10,63.2832
4,1988-01-11,65.1078
4,1988-01-12,73.8631
5,1989-01-01,77.9188
5,1989-01-02,76.6822
5,1989-01-03,73.3523
5,1989-01-04,65.1081
5,1989-01-05,63.6892
5,1989-01-06,68.4722
5,1989-01-07,74.0301
5,1989-01-08,75.0448
5,1989-01-09,69.3053
5,1989-01-10,65.8735
5,1989-01-11,69.0706
5,1989-01-12,84.1949
6,1990-01-01,84.3598
6,1990-01-02,77.1726
6,1990-01-03,73.1964
6,1990-01-04,67.2781
6,1990-01-05,65.8218
6,1990-01-06,71.4654
6,1990-01-07,76.614
6,1990-01-08,77.1052
6,1990-01-09,73.061
6,1990-01-10,67.4365
6,1990-01-11,68.5665
6,1990-01-12,77.6839
7,1991-01-01,86.0214
7,1991-01-02,77.5573
7,1991-01-03,73.365
7,1991-01-04,67.15
7,1991-01-05,68.8162
7,1991-01-06,74.8448
7,1991-01-07,80.0928
7,1991-01-08,79.1606
7,1991-01-09,73.5743
7,1991-01-10,68.7538
7,1991-01-11,72.5166
7,1991-01-12,79.4894
8,1992-01-01,85.2855
8,1992-01-02,80.1643
8,1992-01-03,74.5275
8,1992-01-04,69.6441
8,1992-01-05,67.1784
8,1992-01-06,71.2078
8,1992-01-07,77.5081
8,1992-01-08,76.5374
8,1992-01-09,72.3541
8,1992-01-10,69.0286
8,1992-01-11,73.4992
8,1992-01-12,84.5159
9,1993-01-01,87.9464
9,1993-01-02,84.5561
9,1993-01-03,79.4747
9,1993-01-04,71.0578
9,1993-01-05,67.6762
9,1993-01-06,74.3297
9,1993-01-07,82.1048
9,1993-01-08,82.0605
9,1993-01-09,74.6031
9,1993-01-10,69.681
9,1993-01-11,74.4292
9,1993-01-12,84.2284
10,1994-01-01,94.1386
10,1994-01-02,87.1607
10,1994-01-03,79.2456
10,1994-01-04,70.9749
10,1994-01-05,69.3844
10,1994-01-06,77.9831
10,1994-01-07,83.277
10,1994-01-08,81.8872
10,1994-01-09,75.6826
10,1994-01-10,71.2661
10,1994-01-11,75.2458
10,1994-01-12,84.8147
11,1995-01-01,92.4532
11,1995-01-02,87.4033
11,1995-01-03,81.2661
11,1995-01-04,73.8167
11,1995-01-05,73.2682
11,1995-01-06,78.3026
11,1995-01-07,85.9841
11,1995-01-08,89.5467
11,1995-01-09,78.5035
11,1995-01-10,73.7066
11,1995-01-11,79.6543
11,1995-01-12,90.8251
12,1996-01-01,98.9732
12,1996-01-02,92.8883
12,1996-01-03,86.9356
12,1996-01-04,77.2214
12,1996-01-05,76.6826
12,1996-01-06,81.9306
12,1996-01-07,85.9606
12,1996-01-08,86.5562
12,1996-01-09,79.1919
12,1996-01-10,74.6891
12,1996-01-11,81.074
12,1996-01-12,90.4855
13,1997-01-01,98.4613
13,1997-01-02,89.7795
13,1997-01-03,83.0125
13,1997-01-04,76.1476
13,1997-01-05,73.8471
13,1997-01-06,79.7645
13,1997-01-07,88.4519
13,1997-01-08,87.7828
13,1997-01-09,81.9386
13,1997-01-10,77.5027
13,1997-01-11,82.0448
13,1997-01-12,92.101
14,1998-01-01,94.792
14,1998-01-02,87.82
14,1998-01-03,86.5549
14,1998-01-04,76.7521
14,1998-01-05,78.0303
14,1998-01-06,86.4579
14,1998-01-07,93.8379
14,1998-01-08,93.531
14,1998-01-09,87.5414
14,1998-01-10,80.0924
14,1998-01-11,81.4349
14,1998-01-12,91.6841
15,1999-01-01,102.1348
15,1999-01-02,91.1829
15,1999-01-03,90.7381
15,1999-01-04,80.5176
15,1999-01-05,79.3887
15,1999-01-06,87.8431
15,1999-01-07,97.4903
15,1999-01-08,96.4157
15,1999-01-09,87.2248
15,1999-01-10,80.6409
15,1999-01-11,82.2025
15,1999-01-12,94.5113
16,2000-01-01,102.2301
16,2000-01-02,94.2989
16,2000-01-03,88.0927
16,2000-01-04,81.4425
16,2000-01-05,84.4552
16,2000-01-06,91.0406
16,2000-01-07,95.9957
16,2000-01-08,99.3704
16,2000-01-09,90.9178
16,2000-01-10,83.1408
16,2000-01-11,88.041
16,2000-01-12,102.4558
17,2001-01-01,109.1081
17,2001-01-02,97.1717
17,2001-01-03,92.8283
17,2001-01-04,82.915
17,2001-01-05,82.5465
17,2001-01-06,90.3955
17,2001-01-07,96.074
17,2001-01-08,99.5534
17,2001-01-09,88.281
17,2001-01-10,82.686
17,2001-01-11,82.9319
17,2001-01-12,93.0381
18,2002-01-01,102.9955
18,2002-01-02,95.2075
18,2002-01-03,93.2556
18,2002-01-04,85.795
18,2002-01-05,85.2351
18,2002-01-06,93.1896
18,2002-01-07,102.393
18,2002-01-08,101.6293
18,2002-01-09,93.3089
18,2002-01-10,86.9002
18,2002-01-11,88.5749
18,2002-01-12,100.8003
19,2003-01-01,110.1807
19,2003-01-02,103.8413
19,2003-01-03,94.5532
19,2003-01-04,85.062
19,2003-01-05,85.4653
19,2003-01-06,91.0761
19,2003-01-07,102.22
19,2003-01-08,104.4682
19,2003-01-09,92.9135
19,2003-01-10,86.5047
19,2003-01-11,88.5735
19,2003-01-12,103.5428
20,2004-01-01,113.7226
20,2004-01-02,106.159
20,2004-01-03,95.4029
20,2004-01-04,86.7233
20,2004-01-05,89.0302
20,2004-01-06,95.5045
20,2004-01-07,101.7948
20,2004-01-08,100.2025
20,2004-01-09,94.024
20,2004-01-10,87.5262
20,2004-01-11,89.6144
20,2004-01-12,105.7263
21,2005-01-01,111.1614
21,2005-01-02,101.7795
