id,Month,Monthly_beer_production
1,1956-01,93.2
1,1956-02,96
1,1956-03,95.2
1,1956-04,77.1
1,1956-05,70.9
1,1956-06,64.8
1,1956-07,70.1
1,1956-08,77.3
1,1956-09,79.5
1,1956-10,100.6
1,1956-11,100.7
1,1956-12,107.1
2,1957-01,95.9
2,1957-02,82.8
2,1957-03,83.3
2,1957-04,80
2,1957-05,80.4
2,1957-06,67.5
2,1957-07,75.7
2,1957-08,71.1
2,1957-09,89.3
2,1957-10,101.1
2,1957-11,105.2
2,1957-12,114.1
3,1958-01,96.3
3,1958-02,84.4
3,1958-03,91.2
3,1958-04,81.9
3,1958-05,80.5
3,1958-06,70.4
3,1958-07,74.8
3,1958-08,75.9
3,1958-09,86.3
3,1958-10,98.7
3,1958-11,100.9
3,1958-12,113.8
4,1959-01,89.8
4,1959-02,84.4
4,1959-03,87.2
4,1959-04,85.6
4,1959-05,72
4,1959-06,69.2
4,1959-07,77.5
4,1959-08,78.1
4,1959-09,94.3
4,1959-10,97.7
4,1959-11,100.2
4,1959-12,116.4
5,1960-01,97.1
5,1960-02,93
5,1960-03,96
5,1960-04,80.5
5,1960-05,76.1
5,1960-06,69.9
5,1960-07,73.6
5,1960-08,92.6
5,1960-09,94.2
5,1960-10,93.5
5,1960-11,108.5
5,1960-12,109.4
6,1961-01,105.1
6,1961-02,92.5
6,1961-03,97.1
6,1961-04,81.4
6,1961-05,79.1
6,1961-06,72.1
6,1961-07,78.7
6,1961-08,87.1
6,1961-09,91.4
6,1961-10,109.9
6,1961-11,116.3
6,1961-12,113
7,1962-01,100
7,1962-02,84.8
7,1962-03,94.3
7,1962-04,87.1
7,1962-05,90.3
7,1962-06,72.4
7,1962-07,84.9
7,1962-08,92.7
7,1962-09,92.2
7,1962-10,114.9
7,1962-11,112.5
7,1962-12,118.3
8,1963-01,106
8,1963-02,91.2
8,1963-03,96.6
8,1963-04,96.3
8,1963-05,88.2
8,1963-06,70.2
8,1963-07,86.5
8,1963-08,88.2
8,1963-09,102.8
8,1963-10,119.1
8,1963-11,119.2
8,1963-12,125.1
9,1964-01,106.1
9,1964-02,102.1
9,1964-03,105.2
9,1964-04,101
9,1964-05,84.3
9,1964-06,87.5
9,1964-07,92.7
9,1964-08,94.4
9,1964-09,113
9,1964-10,113.9
9,1964-11,122.9
9,1964-12,132.7
10,1965-01,106.9
10,1965-02,96.6
10,1965-03,127.3
10,1965-04,98.2
10,1965-05,100.2
10,1965-06,89.4
10,1965-07,95.3
10,1965-08,104.2
10,1965-09,106.4
10,1965-10,116.2
10,1965-11,135.9
10,1965-12,134
11,1966-01,104.6
11,1966-02,107.1
11,1966-03,123.5
11,1966-04,98.8
11,1966-05,98.6
11,1966-06,90.6
11,1966-07,89.1
11,1966-08,105.2
11,1966-09,114
11,1966-10,122.1
11,1966-11,138
11,1966-12,142.2
12,1967-01,116.4
12,1967-02,112.6
12,1967-03,123.8
12,1967-04,103.6
12,1967-05,113.9
12,1967-06,98.6
12,1967-07,95
12,1967-08,116
12,1967-09,113.9
12,1967-10,127.5
12,1967-11,131.4
12,1967-12,145.9
13,1968-01,131.5
13,1968-02,131
13,1968-03,130.5
13,1968-04,118.9
13,1968-05,114.3
13,1968-06,85.7
13,1968-07,104.6
13,1968-08,105.1
13,1968-09,117.3
13,1968-10,142.5
13,1968-11,140
13,1968-12,159.8
14,1969-01,131.2
14,1969-02,125.4
14,1969-03,126.5
14,1969-04,119.4
14,1969-05,113.5
14,1969-06,98.7
14,1969-07,114.5
14,1969-08,113.8
14,1969-09,133.1
14,1969-10,143.4
14,1969-11,137.3
14,1969-12,165.2
15,1970-01,126.9
15,1970-02,124
15,1970-03,135.7
15,1970-04,130
15,1970-05,109.4
15,1970-06,117.8
15,1970-07,120.3
15,1970-08,121
15,1970-09,132.3
15,1970-10,142.9
15,1970-11,147.4
15,1970-12,175.9
16,1971-01,132.6
16,1971-02,123.7
16,1971-03,153.3
16,1971-04,134
16,1971-05,119.6
16,1971-06,116.2
16,1971-07,118.6
16,1971-08,130.7
16,1971-09,129.3
16,1971-10,144.4
16,1971-11,163.2
16,1971-12,179.4
17,1972-01,128.1
17,1972-02,138.4
17,1972-03,152.7
17,1972-04,120
17,1972-05,140.5
17,1972-06,116.2
17,1972-07,121.4
17,1972-08,127.8
17,1972-09,143.6
17,1972-10,157.6
17,1972-11,166.2
17,1972-12,182.3
18,1973-01,153.1
18,1973-02,147.6
18,1973-03,157.7
18,1973-04,137.2
18,1973-05,151.5
18,1973-06,98.7
18,1973-07,145.8
18,1973-08,151.7
18,1973-09,129.4
18,1973-10,174.1
18,1973-11,197
18,1973-12,193.9
19,1974-01,164.1
19,1974-02,142.8
19,1974-03,157.9
19,1974-04,159.2
19,1974-05,162.2
19,1974-06,123.1
19,1974-07,130
19,1974-08,150.1
19,1974-09,169.4
19,1974-10,179.7
19,1974-11,182.1
19,1974-12,194.3
20,1975-01,161.4
20,1975-02,169.4
20,1975-03,168.8
20,1975-04,158.1
20,1975-05,158.5
20,1975-06,135.3
20,1975-07,149.3
20,1975-08,143.4
20,1975-09,142.2
20,1975-10,188.4
20,1975-11,166.2
20,1975-12,199.2
21,1976-01,182.7
21,1976-02,145.2
21,1976-03,182.1
21,1976-04,158.7
21,1976-05,141.6
21,1976-06,132.6
21,1976-07,139.6
21,1976-08,147
21,1976-09,166.6
21,1976-10,157
21,1976-11,180.4
21,1976-12,210.2
22,1977-01,159.8
22,1977-02,157.8
22,1977-03,168.2
22,1977-04,158.4
22,1977-05,152
22,1977-06,142.2
22,1977-07,137.2
22,1977-08,152.6
22,1977-09,166.8
22,1977-10,165.6
22,1977-11,198.6
22,1977-12,201.5
23,1978-01,170.7
23,1978-02,164.4
23,1978-03,179.7
23,1978-04,157
23,1978-05,168
23,1978-06,139.3
23,1978-07,138.6
23,1978-08,153.4
23,1978-09,138.9
23,1978-10,172.1
23,1978-11,198.4
23,1978-12,217.8
23,1979-01,173.7
23,1979-02,153.8
23,1979-03,175.6
23,1979-04,147.1
23,1979-05,160.3
23,1979-06,135.2
23,1979-07,148.8
23,1979-08,151
23,1979-09,148.2
23,1979-10,182.2
23,1979-11,189.2
23,1979-12,183.1
24,1980-01,170
24,1980-02,158.4
24,1980-03,176.1
24,1980-04,156.2
24,1980-05,153.2
24,1980-06,117.9
24,1980-07,149.8
24,1980-08,156.6
24,1980-09,166.7
24,1980-10,156.8
24,1980-11,158.6
24,1980-12,210.8
25,1981-01,203.6
25,1981-02,175.2
25,1981-03,168.7
25,1981-04,155.9
25,1981-05,147.3
25,1981-06,137
25,1981-07,141.1
25,1981-08,167.4
25,1981-09,160.2
25,1981-10,191.9
25,1981-11,174.4
25,1981-12,208.2
26,1982-01,159.4
26,1982-02,161.1
26,1982-03,172.1
26,1982-04,158.4
26,1982-05,114.6
26,1982-06,159.6
26,1982-07,159.7
26,1982-08,159.4
26,1982-09,160.7
26,1982-10,165.5
26,1982-11,205
26,1982-12,205.2
27,1983-01,141.6
27,1983-02,148.1
27,1983-03,184.9
27,1983-04,132.5
27,1983-05,137.3
27,1983-06,135.5
27,1983-07,121.7
27,1983-08,166.1
27,1983-09,146.8
27,1983-10,162.8
27,1983-11,186.8
27,1983-12,185.5
28,1984-01,151.5
28,1984-02,158.1
28,1984-03,143
28,1984-04,151.2
28,1984-05,147.6
28,1984-06,130.7
28,1984-07,137.5
28,1984-08,146.1
28,1984-09,133.6
28,1984-10,167.9
28,1984-11,181.9
28,1984-12,202
29,1985-01,166.5
29,1985-02,151.3
29,1985-03,146.2
29,1985-04,148.3
29,1985-05,144.7
29,1985-06,123.6
29,1985-07,151.6
29,1985-08,133.9
29,1985-09,137.4
29,1985-10,181.6
29,1985-11,182
29,1985-12,190
30,1986-01,161.2
30,1986-02,155.5
30,1986-03,141.9
30,1986-04,164.6
30,1986-05,136.2
30,1986-06,126.8
30,1986-07,152.5
30,1986-08,126.6
30,1986-09,150.1
30,1986-10,186.3
30,1986-11,147.5
30,1986-12,200.4
31,1987-01,177.2
31,1987-02,127.4
31,1987-03,177.1
31,1987-04,154.4
31,1987-05,135.2
31,1987-06,126.4
31,1987-07,147.3
31,1987-08,140.6
31,1987-09,152.3
31,1987-10,151.2
31,1987-11,172.2
31,1987-12,215.3
32,1988-01,154.1
32,1988-02,159.3
32,1988-03,160.4
32,1988-04,151.9
32,1988-05,148.4
32,1988-06,139.6
32,1988-07,148.2
32,1988-08,153.5
32,1988-09,145.1
32,1988-10,183.7
32,1988-11,210.5
32,1988-12,203.3
33,1989-01,153.3
33,1989-02,144.3
33,1989-03,169.6
33,1989-04,143.7
33,1989-05,160.1
33,1989-06,135.6
33,1989-07,141.8
33,1989-08,159.9
33,1989-09,145.7
33,1989-10,183.5
33,1989-11,198.2
33,1989-12,186.8
34,1990-01,172
34,1990-02,150.6
34,1990-03,163.3
34,1990-04,153.7
34,1990-05,152.9
34,1990-06,135.5
34,1990-07,148.5
34,1990-08,148.4
34,1990-09,133.6
34,1990-10,194.1
34,1990-11,208.6
34,1990-12,197.3
35,1991-01,164.4
35,1991-02,148.1
35,1991-03,152
35,1991-04,144.1
35,1991-05,155
35,1991-06,124.5
35,1991-07,153
35,1991-08,146
35,1991-09,138
35,1991-10,190
35,1991-11,192
35,1991-12,192
36,1992-01,147
36,1992-02,133
36,1992-03,163
36,1992-04,150
36,1992-05,129
36,1992-06,131
36,1992-07,145
36,1992-08,137
36,1992-09,138
36,1992-10,168
36,1992-11,176
36,1992-12,188
37,1993-01,139
37,1993-02,143
37,1993-03,150
37,1993-04,154
37,1993-05,137
37,1993-06,129
37,1993-07,128
37,1993-08,140
37,1993-09,143
37,1993-10,151
37,1993-11,177
37,1993-12,184
38,1994-01,151
38,1994-02,134
38,1994-03,164
38,1994-04,126
38,1994-05,131
38,1994-06,125
38,1994-07,127
38,1994-08,143
38,1994-09,143
38,1994-10,160
38,1994-11,190
38,1994-12,182
39,1995-01,138
39,1995-02,136
39,1995-03,152
39,1995-04,127
39,1995-05,151
39,1995-06,130
39,1995-07,119
39,1995-08,153
