id,Month,Sales_of_shampoo_over_a_three_year_period
1,2020-01-01,266
1,2020-02-01,145.9
1,2020-03-01,183.1
1,2020-04-01,119.3
1,2020-05-01,180.3
1,2020-06-01,168.5
1,2020-07-01,231.8
1,2020-08-01,224.5
1,2020-09-01,192.8
1,2020-10-01,122.9
1,2020-11-01,336.5
1,2020-12-01,185.9
2,2020-01-02,194.3
2,2020-02-02,149.5
2,2020-03-02,210.1
2,2020-04-02,273.3
2,2020-05-02,191.4
2,2020-06-02,287
2,2020-07-02,226
2,2020-08-02,303.6
2,2020-09-02,289.9
2,2020-10-02,421.6
2,2020-11-02,264.5
2,2020-12-02,342.3
3,2020-01-03,339.7
3,2020-02-03,440.4
3,2020-03-03,315.9
3,2020-04-03,439.3
3,2020-05-03,401.3
3,2020-06-03,437.4
3,2020-07-03,575.5
3,2020-08-03,407.6
3,2020-09-03,682
3,2020-10-03,475.3
3,2020-11-03,581.3
3,2020-12-03,646.9
